rank~name~subscribers
1~tseries_0-6y~251M
2~MrBeast~198M
4~Cocomelon~166M
7~kids_diana_show~114M
8~PewDiePie~111M
9~like_nastya~108M
10~vlad_and_niki~102M
14~blackpink~91.8M
15~Goldmines~91M
17~5-minute_crafts~80.3M
18~BANGTANTV~76.6M
21~hybe_labels~73M
22~justin_bieber~72M
23~pingfong_baby_shark-kids_songs_and_stories~70.3M
24~chuchu_tv_nursey_rhymes_and_kids_songs~68.1M
26~Canal_KondZilla~66.7M
27~Shemaroo_Filmi_Gaane~66.5M
29~Tips_Official~61.7M
30~El_Reino_Infantil~60.3M
32~DudePerfect~59.8M
35~Sony_Music_India~58.2M
36~EminemMusic~57.6M
37~Marshmello~56.6M
38~Infobells-Hindi~56.5M
39~YRF~56.3M
40~LooLooKids-NurseryRhymesAndChildrensSongs~55M
41~TaylorSwift~54.5M
42~BillionSurpriseToys~53.7M
43~EdSheeran~53.8M
44~ArianaGrande~53M
46~Billie_Eilish~48.7M
47~JuegaGerman~48.7M
48~Get_Movies~48.3M
49~SonyMusicIndiaVEVO~47.8M
50~A4~47.7M
54~BadBunny~46.9M
55~Fernanfloo~46.5M
59~VocêSabia~45M
60~Shakira~44.8M
61~ToysandColors~44.9M
62~МашаиМедведь~44.6M
63~BRIGHTSIDE~44.5M
64~KatyPerry~44.5M
65~AlanWalker~44.4M
66~MashaandTheBear~44.3M
67~whinderssonnunes~44.3M
68~Mikecrack~44.3M
69~HolaSoyGerman~43.6M
71~LikeNastyaShow~42.6M
72~IshtarMusic~42.5M
73~KimberlyLoaiza~42.5M
74~Rihanna~42.3M
75~LuisitoComunica~41.3M
76~LittleBabyBum-NurseryRhymesAndKidsSongs~40.9M
77~shfa2~40.8M
78~JessNoLimit~40.7M
79~CarryMinati~40.5M
80~LUCCASNETO-LUCCASTOON~40.4M
81~elrubiusOMG~40.3M
82~SuperSimpleSongs-KidsSongs~40.1M
85~XXXTENTACION~39.5M
86~GoldminesGaaneSuneAnsune~39.5M
87~GR6EXPLODE~39.4M
89~MrBeastGaming~39.2M
90~shfa~39.2M
91~VladandNiki~102M
92~RicisOfficial~38.5M
95~LikeNastyaESP~38.4M
96~DaddyYankee~38.3M
97~OneDirection~38.3M
98~BETERBÖCÜK~38.3M
100~MariaClaraAndJP~38.1M
