title~views~uptime_y~uptime_m~uptime_d~link
Masha and the Bear 2023 =F0=9F=A4=94 Find the item=E2=9D=93Best episodes cartoon collection =F0=9F=8E=AC~1,729,452~0~3~90~https://www.youtube.com/watch?v=3DIYgPypbeTns
NEW APP!  Masha and the Bear for Kids! Let's play together!~671,273~0~3~90~https://www.youtube.com/watch?v=3DTYgidAKppU0
Masha and the Bear 2023 =E2=9A=BD Kick, pass and run =F0=9F=A5=85=F0=9F=8F=85 Best episodes cartoon collection =F0=9F=8E=AC~11,767,104~0~3~90~https://www.youtube.com/watch?v=3DAy0wxf_n5h8
Masha and the Bear 2023 =F0=9F=92=83 At Your Service =F0=9F=A4=96  30 min =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~1,793,038~0~3~90~https://www.youtube.com/watch?v=3Dk6zl9Ros-SE
Masha and the Bear =F0=9F=92=A5 NEW EPISODE 2023 =F0=9F=87=AA=F0=9F=87=B8=F0=9F=AA=95 Spanish Tunes =F0=9F=87=AA=F0=9F=87=B8=F0=9F=92=83 (Masha's Songs, Episode 9)~1,741,324~0~4~121~https://www.youtube.com/watch?v=3D2RTM11StsLg
Masha and the Bear 2023  =F0=9F=87=AA=F0=9F=87=B8=F0=9F=AA=95 Spanish Tunes =F0=9F=87=AA=F0=9F=87=B8=F0=9F=92=83(Trailer) New episode coming on July 14! =F0=9F=8E=AC~720,601~0~4~121~https://www.youtube.com/watch?v=3DKXCC3X9Y-Jc
Masha and the Bear 2023 =F0=9F=A4=97 Keep your loved ones close =F0=9F=92=9E=F0=9F=92=97 Best episodes cartoon collection =F0=9F=8E=AC~2,377,225~0~4~121~https://www.youtube.com/watch?v=3DjzqKRUe-MVs
Masha and the Bear 2023 =F0=9F=8E=AC NEW EPISODE! =F0=9F=8E=AC Best cartoon collection =F0=9F=91=8B See You Later =F0=9F=98=AD~6,357,732~0~4~121~https://www.youtube.com/watch?v=3DW9eZiUHQgg8
Masha and the Bear 2023 =F0=9F=AA=81 Whirlwind of adventures =F0=9F=A4=97 Best episodes cartoon collection =F0=9F=8E=AC~984,012~0~4~121~https://www.youtube.com/watch?v=3D8gsmwRRveoA
Masha and the Bear 2023 =F0=9F=A4=94 Guess what?=E2=9D=93Best episodes cartoon collection =F0=9F=8E=AC~749,997~0~4~121~https://www.youtube.com/watch?v=3DpPjDJ2DntWE
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=A5=9B Dairy Shop =F0=9F=8F=AC (Episode 7) =F0=9F=94=94~2,265,470~0~4~121~https://www.youtube.com/watch?v=3DGnCQEel1M5o
Masha and the Bear =F0=9F=8E=B5Japanese Song =F0=9F=97=BE=F0=9F=91=98  The Secret of Mashuko =F0=9F=A4=96=F0=9F=8C=B8 =F0=9F=8E=B5=E2=9C=A8Songs from cartoons =E2=9C=A8Masha`s Songs~745,935~0~4~121~https://www.youtube.com/watch?v=3DdxWWIjVgIAY
