title~views~uptime_y~uptime_m~uptime_d~link
Nastya and her Birthday Party for 9 years~20,705,873~0~9~275~https://www.youtube.com/watch?v=3Dwj3uXv4QEr0
Nastya and the story about diversity at school~28,101,260~0~9~275~https://www.youtube.com/watch?v=3DlnUnaXsf06w
Nastya shows how to be polite and kind~15,911,190~0~9~275~https://www.youtube.com/watch?v=3DQ0401iiN0nI
Nastya and Collection of funny challenges for kids~28,120,719~0~9~275~https://www.youtube.com/watch?v=3DiB4hauCBvpw
Nastya and a collection of stories about good behavior at school~29,353,471~0~10~306~https://www.youtube.com/watch?v=3DrVk6cLSmcKY
Nastya and Dad explore kids entertainment in Dubai~12,136,690~0~10~306~https://www.youtube.com/watch?v=3DBMSAVw4Oz9o
Nastya and the gift story with Labrant family~7,401,841~0~10~306~https://www.youtube.com/watch?v=3D6qY2xlGVOKg
Like Nastya and best kids stories in english~48,984,902~0~10~306~https://www.youtube.com/watch?v=3D2_Ee6OUP4KY
Nastya and Open the 10 Doors Challenge~12,530,642~0~10~306~https://www.youtube.com/watch?v=3DA2t7ElnjU6c
Nastya and the magical Christmas story~5,545,478~0~10~306~https://www.youtube.com/watch?v=3DRfRjJv8s02s
Nastya and Dad have fun at an amusement park in Abu Dhabi~17,698,113~0~10~306~https://www.youtube.com/watch?v=3DYQQLinWgYas
Nastya and the rules of etiquette in communicating with people~11,533,843~0~11~337~https://www.youtube.com/watch?v=3Dnon76RfbR4E
Nastya and Dad open the Advent calendar and other Christmas stories~20,332,464~0~11~337~https://www.youtube.com/watch?v=3DR4iR4LOJcXc
Nastya helps dad with the housework with the help of a robot~5,596,001~0~11~337~https://www.youtube.com/watch?v=3D9YT71fPPRiU
Nastya and playdate with the kids~14,457,328~0~11~337~https://www.youtube.com/watch?v=3DZazFREEhR-Q
Nastya and Hobby Challenge~8,647,768~0~11~337~https://www.youtube.com/watch?v=3DbHovFkt24rI
Nastya and friends help each other to win in the challenge~22,689,157~0~11~337~https://www.youtube.com/watch?v=3DHoympceqdSs
Like Nastya compilation of the best videos of 2022~96,722,360~0~11~337~https://www.youtube.com/watch?v=3DJHVYNJMZ5d4
Nastya entertains two kids with benefits~7,292,026~0~12~367~https://www.youtube.com/watch?v=3DSEqPQYU2Wh4
Nastya and the school story about a rude boy and bulling~12,859,061~0~12~367~https://www.youtube.com/watch?v=3Dq9P15_JXAIM
Nastya and a party at school in the style of Monster High toys~4,547,502~0~12~367~https://www.youtube.com/watch?v=3DBt18lHJ3QZU
Nastya and Dad study wild animals~5,702,783~0~12~367~https://www.youtube.com/watch?v=3DbxQpPYOwrRE
Nastya and safety rules for kids in the forest~6,467,621~0~12~367~https://www.youtube.com/watch?v=3DK0IlJsi60dQ
Nastya and Dad are preparing healthy treats for Halloween~15,161,223~0~12~367~https://www.youtube.com/watch?v=3DSyUvSbGptYs
Nastya and teamwork challenge day at school~12,210,314~0~12~367~https://www.youtube.com/watch?v=3DmjlggAvmNMM
Funny English Alphabet from Nastya and Evelyn~60,246,560~0~12~367~https://www.youtube.com/watch?v=3DUQ5Ra_l0vNY
Nastya and Dad are doing fun scientific experiments~28,179,270~0~12~367~https://www.youtube.com/watch?v=3DQ4mpHEcrPIc
Nastya and Maggie tell Naomi about professions~7,790,215~1~13~398~https://www.youtube.com/watch?v=3D4-VBH2JNSrI
Dad decorates the house for Halloween for Nastya~3,420,368~1~13~398~https://www.youtube.com/watch?v=3Dh7JUmJDKL20
