title~views~uptime_y~uptime_m~uptime_d~link
50 THINGS ABOUT ME 2019 by Rubius~12,755,353~4~49~1490~https://www.youtube.com/watch?v=3DsEhfNesj7ao
PLAYING YOUR MAPS | Mario Maker 2~17,133,537~4~49~1490~https://www.youtube.com/watch?v=3DgeSbtIPEXg8
WATER OF GAMER GIRL =F0=9F=A4=A2~20,564,358~4~49~1490~https://www.youtube.com/watch?v=3DjUyxgUkNo9U
TRAUMAS ARE BACK~11,434,955~4~49~1490~https://www.youtube.com/watch?v=3D99jXthe_YYg
RUBIUS abusing RUBIUS in the game of RUBIUS (VR)~15,323,596~4~49~1490~https://www.youtube.com/watch?v=3DBpWI0GzXgGc
WHISPER CHALLENGE with Auronplay~21,458,586~4~49~1490~https://www.youtube.com/watch?v=3DNgGqA9Sy0tA
DO NOT DO THESE EXPERIMENTS AT HOME by Rubius~15,396,041~4~49~1490~https://www.youtube.com/watch?v=3DjmoDybW8j2k
FORNITE x RUBIUS | $3.000.000 IF YOU FINISH MY MAP.~6,346,924~4~49~1490~https://www.youtube.com/watch?v=3DITBgeiGsvYk
SUBS SEND ME DENIGRANT VIDEOS #3~17,426,147~4~49~1490~https://www.youtube.com/watch?v=3DSLpfvLcq7Jo
NO TE RAYES JERRY CHALLENGE~14,432,814~4~49~1490~https://www.youtube.com/watch?v=3DSGvW3mRZ6Vo
MY HOUSE IN 5 MINUTES~42,610,407~4~49~1490~https://www.youtube.com/watch?v=3DtECBdRd6xr0
ESCAPE THE AYUWOKI~13,356,335~4~49~1490~https://www.youtube.com/watch?v=3D4I-aAxB0JPc
ATTACKED BY A JAPANESE TOILET | Epic Vlog~10,772,804~4~49~1490~https://www.youtube.com/watch?v=3DwsJOf4_V4J8
THINGS THAT ONLY HAPPEN IN JAPAN~24,740,997~4~49~1490~https://www.youtube.com/watch?v=3D5ddTrPPXByM
UN DIA CON MOHAMMED | GTA V Roleplay~8,103,833~4~49~1490~https://www.youtube.com/watch?v=3D9dkd-_yNbzo
MANGEL'S 1000 VOICES~42,807,983~4~49~1490~https://www.youtube.com/watch?v=3D1dAUI_5Lj18
REACTING TO MY MEMES by Rubius~20,469,090~4~49~1490~https://www.youtube.com/watch?v=3Dg474KVq99iE
U Got That | Rubius Edition [COMPLETE VERSION] ft. RICHARD~18,840,830~4~49~1490~https://www.youtube.com/watch?v=3DHtSMKvdmRgo
The New Genius of Aladdin~9,659,450~4~49~1490~https://www.youtube.com/watch?v=3DM5xo65tlZpM
ME ESTOY HACIENDO VIEJO~7,543,138~4~49~1490~https://www.youtube.com/watch?v=3DDVN2YKkv154
YOUTUBERS EN HOLLYWOOD | Epic Vlog~9,996,254~4~49~1490~https://www.youtube.com/watch?v=3DvSXq8yCBb6s
SUBS SEND ME VIDEOS #2~25,519,728~4~49~1490~https://www.youtube.com/watch?v=3DDg9_arsEIik
SEARCHING PEOPLE WITH TALENT IN CHATROULETTE~17,816,981~4~49~1490~https://www.youtube.com/watch?v=3Djt2WiLSvc0g
THE GREETING THAT ENDED WITH RUBIUS~11,805,605~4~49~1490~https://www.youtube.com/watch?v=3D7tToLF8y0yg
A NEW RUBIUS~10,198,596~4~49~1490~https://www.youtube.com/watch?v=3DPhPrO_eqMnQ
STUPID QUESTIONS #5~31,789,046~4~49~1490~https://www.youtube.com/watch?v=3D5a4ObtIOoz0
MIS SUSCRIPTORES ME MANDAN VIDEOS DENIGRANTES~28,504,422~4~49~1490~https://www.youtube.com/watch?v=3DTviCcF2yo6o
Pokemon Switch in 1 minute~17,380,791~4~49~1490~https://www.youtube.com/watch?v=3DTubavPkqTgM
MY NEW NEW NEW NEW GAME ROOM~16,173,960~4~49~1490~https://www.youtube.com/watch?v=3DUvO713qLQeQ
Red Dead Memention 2~19,697,413~4~49~1490~https://www.youtube.com/watch?v=3DotZTc5ihWMs
VIRTUAL HERO - Tea time (FULL CHAPTER)~12,792,984~5~61~1855~https://www.youtube.com/watch?v=3DGzBy7zD2lNM
I'm going to give myself some time~13,540,026~5~61~1855~https://www.youtube.com/watch?v=3DXSBuVM0u3f0
THE LEGENDARY KILL TO THANOS | Fortnite~20,810,520~5~61~1855~https://www.youtube.com/watch?v=3DfTc8bwoSv4M
