title~views~uptime_y~uptime_m~uptime_d~link
XXXTENTACION - Snow (Official Audio)~740,085~0~3~81~https://www.youtube.com/watch?v=3DnKEv0f0NdYc
XXXTENTACION - Manikin (Official Audio)~379,812~0~3~81~https://www.youtube.com/watch?v=3DQeZUmuirlqM
XXXTENTACION - ILuvMyCliqueLikeKanyeWest (Official Audio)~254,056~0~3~81~https://www.youtube.com/watch?v=3D1skhhWnxZx4
XXXTENTACION - HEARTEATER (Official Video)~8,181,882~3~38~1146~https://www.youtube.com/watch?v=3DJJOvcD6hprc
XXXTENTACION - HEARTEATER (Audio)~16,685,547~3~38~1146~https://www.youtube.com/watch?v=3DqYpzHHdCVu8
XXXTENTACION - HEARTEATER (Teaser)~4,025,336~3~38~1146~https://www.youtube.com/watch?v=3DnyxRebRhaK0
XXXTENTACION  - Royalty (Official Video) (feat. Ky-Mani Marley, Stefflon Don &amp; Vybz Kartel)~13,338,441~4~50~1512~https://www.youtube.com/watch?v=3D009XGotXWCs
Nocturne (a tribute to XXXTENTACION by Yoko Shimomura)~5,100,466~4~50~1512~https://www.youtube.com/watch?v=3D1pnYtkjx5HE
XXXTENTACION - ? Deluxe 3LP Unboxing~1,764,291~4~50~1512~https://www.youtube.com/watch?v=3DI1udziP4dKo
Craig Xen &amp; XXXTENTACION - RUN IT BACK! (Official Video)~10,944,868~4~50~1512~https://www.youtube.com/watch?v=3DE2VMllR4aIs
XXXTENTACION - Documentary Trailer~10,888,383~4~50~1512~https://www.youtube.com/watch?v=3D5ZXFPPV3pnE
XXXTENTACION - SAUCE! (Official Video)~91,961,193~4~50~1512~https://www.youtube.com/watch?v=3D478ewrAuCXI
Kid Trunks - Woah (Freestyle) (Audio)~2,089,973~4~50~1512~https://www.youtube.com/watch?v=3DtBIdF8jUC2E
XXXTENTACION Global Mural Project~7,544,054~4~50~1512~https://www.youtube.com/watch?v=3D3CKkl86PHnU
TankHead, Ratchet Roach, Flyboy Tarantino, Cooliecut - MEMBERS ONLY! (Audio)~1,263,600~4~50~1512~https://www.youtube.com/watch?v=3Dq1lHHrOXDn4
Cooliecut, Craig Xen, Kin$oul &amp; Ski Mask The Slump God - Empty (Audio)~1,745,021~4~50~1512~https://www.youtube.com/watch?v=3DDR68rqH369g
XXXTENTACION &amp; Killstation - Rebirth (2016) (Audio)~2,787,135~4~50~1512~https://www.youtube.com/watch?v=3DgyFEw59TWec
Cooliecut, Kin$oul &amp; Rawhool Mane - Over the Rainbow (Audio)~1,768,099~4~50~1512~https://www.youtube.com/watch?v=3DYy08szBNO4Y
