title~views~uptime_y~uptime_m~uptime_d~link
Taylor Swift - Anti-Hero (Kungs Remix)~1,120,631~0~12~363~https://www.youtube.com/watch?v=3DuybMJ8cSWtA
Taylor Swift - Anti-Hero (Jayda G Remix)~697,937~0~12~363~https://www.youtube.com/watch?v=3DCd3v_pRgOp8
Taylor Swift - Anti-Hero (feat. Bleachers)~1,969,630~0~12~363~https://www.youtube.com/watch?v=3DT1d9PiRAJNM
Taylor Swift - Bejeweled (Official Music Video)~66,024,225~0~12~363~https://www.youtube.com/watch?v=3Db7QlX3yR2xs
Taylor Swift - Snow On The Beach (Lyric Video) ft. Lana Del Rey~24,326,961~0~12~363~https://www.youtube.com/watch?v=3DycE7bUq3-2k
Taylor Swift - Paris (Official Lyric Video)~7,310,858~0~12~363~https://www.youtube.com/watch?v=3DySZGZrcqvr4
Taylor Swift - Labyrinth (Lyric Video)~8,170,130~0~12~363~https://www.youtube.com/watch?v=3DxTXsKMXUi7w
Taylor Swift - Question...? (Official Lyric Video)~12,211,237~0~12~363~https://www.youtube.com/watch?v=3Dxxrf_QBD5DE
Taylor Swift - Sweet Nothing (Official Lyric Video)~8,853,522~0~12~363~https://www.youtube.com/watch?v=3Drn0brgg2BpI
Taylor Swift - Lavender Haze (Official Lyric Video)~21,016,959~0~12~363~https://www.youtube.com/watch?v=3DmkR_Qwix4Ho
Taylor Swift - Maroon (Official Lyric Video)~23,887,109~0~12~363~https://www.youtube.com/watch?v=3DlvHZjvIyqsk
Taylor Swift - The Great War (Official Lyric Video)~16,179,289~0~12~363~https://www.youtube.com/watch?v=3DiFX6_9h7th0
Taylor Swift - Karma (Lyric Video)~23,123,251~0~12~363~https://www.youtube.com/watch?v=3Drg18Kf4en2o
Taylor Swift - Bigger Than The Whole Sky (Lyric Video)~7,207,890~0~12~363~https://www.youtube.com/watch?v=3Dl8Tps3PITx4
Taylor Swift - Dear Reader (Official Lyric Video)~4,252,456~0~12~363~https://www.youtube.com/watch?v=3DX0Jti9F-oQA
Taylor Swift - Glitch (Official Lyric Video)~3,853,527~0~12~363~https://www.youtube.com/watch?v=3DY2a73EvnZ4s
Taylor Swift - Bejeweled (Lyric Video)~15,037,623~0~12~363~https://www.youtube.com/watch?v=3DXzKSPRqFg9E
Taylor Swift - Vigilante Shit (Official Lyric Video)~11,570,978~0~12~363~https://www.youtube.com/watch?v=3DUoey4W_3bos
Taylor Swift - Anti-Hero (Official Lyric Video)~25,314,224~0~12~363~https://www.youtube.com/watch?v=3DXqN2qFvY64U
Taylor Swift - Mastermind (Official Lyric Video)~11,451,488~0~12~363~https://www.youtube.com/watch?v=3DTmz1lz0zcLQ
Taylor Swift - Midnight Rain (Official Lyric Video)~37,286,032~0~12~363~https://www.youtube.com/watch?v=3DOdh9ddPUkEY
Taylor Swift - Would've, Could've, Should've (Official Lyric Video)~14,605,525~0~12~363~https://www.youtube.com/watch?v=3DB-MfwP_RmHY
Taylor Swift - You're On Your Own, Kid (Official Lyric Video)~30,736,215~0~12~363~https://www.youtube.com/watch?v=3D7Gbg6Z70J7E
Taylor Swift - High Infidelity (Official Lyric Video)~7,350,653~0~12~363~https://www.youtube.com/watch?v=3D-qee6dFKlw4
Taylor Swift - Anti-Hero (Official Music Video)~166,562,358~0~12~363~https://www.youtube.com/watch?v=3Db1kbLwvqugk
Taylor Swift - Carolina (From The Motion Picture =E2=80=9CWhere The Crawdads Sing=E2=80=9D / Lyric Video)~6,279,553~1~13~394~https://www.youtube.com/watch?v=3DegxyRSb_XtI
Taylor Swift - Carolina (From The Motion Picture =E2=80=9CWhere The Crawdads Sing=E2=80=9D / Audio)~3,269,177~1~13~394~https://www.youtube.com/watch?v=3D3Q94kA7llGw
Taylor Swift - This Love (Taylor's Version) (Lyric Video)~16,443,924~1~13~394~https://www.youtube.com/watch?v=3DmvxQYPR4lmU
Taylor Swift - Message In A Bottle (Fat Max G Remix) (Taylor=E2=80=99s Version) (Visualizer)~3,737,633~1~13~394~https://www.youtube.com/watch?v=3DmCWRjuhRRYg
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios (Lyric Video)~5,084,416~1~13~394~https://www.youtube.com/watch?v=3DgRo0ZtgB2io
Taylor Swift - All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios~12,041,772~1~13~394~https://www.youtube.com/watch?v=3Dr0yq_yXFQhg
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Karaoke)~1,470,343~1~13~394~https://www.youtube.com/watch?v=3DpPrdGE4w9ZM
Taylor Swift - All Too Well (Taylor's Version) (Karaoke)~702,016~1~13~394~https://www.youtube.com/watch?v=3DUDzPTerKZn8
Taylor Swift ft. Chris Stapleton - I Bet You Think About Me (Taylor's Version) (Officia...~57,465,491~1~13~394~https://www.youtube.com/watch?v=3D5UMCrq-bBCg
Taylor Swift - All Too Well (10 Minute Version) (Live on Saturday Night Live)~22,402,811~1~13~394~https://www.youtube.com/watch?v=3DnJr_8l0AEWE
Taylor Swift - All Too Well: The Short Film~92,030,939~1~13~394~https://www.youtube.com/watch?v=3DtollGa3S0o8
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video)~96,198,293~1~13~394~https://www.youtube.com/watch?v=3DsRxrwjOtIag
Taylor Swift - Starlight (Taylor's Version) (Lyric Video)~3,460,686~1~13~394~https://www.youtube.com/watch?v=3DlPvcwgEuKTg
Taylor Swift - Red (Taylor's Version) (Lyric Video)~37,697,512~1~13~394~https://www.youtube.com/watch?v=3DR_rUYuFtNO4
Taylor Swift - We Are Never Ever Getting Back Together (Taylor's Version) (Lyric Video)~15,940,943~1~13~394~https://www.youtube.com/watch?v=3DzJFcr1KyFqE
Taylor Swift - Treacherous (Taylor's Version) (Lyric Video)~4,969,324~1~13~394~https://www.youtube.com/watch?v=3Du1D1AgDfreg
Taylor Swift - Run (Taylor's Version) (From The Vault) (Lyric Video) ft. Ed Sheeran~8,018,108~1~13~394~https://www.youtube.com/watch?v=3Dflv8AEWrRMI
Taylor Swift - I Almost Do (Taylor's Version) (Lyric Video)~6,297,394~1~13~394~https://www.youtube.com/watch?v=3Dw1AV_35zVwU
Taylor Swift - I Knew You Were Trouble (Taylor's Version) (Lyric Video)~14,296,005~1~13~394~https://www.youtube.com/watch?v=3DTqAollrUJdA
Taylor Swift - The Very First Night (Taylor's Version) (From The Vault) (Lyric Video)~8,547,289~1~13~394~https://www.youtube.com/watch?v=3DrVuyi-dPMIc
