title~views~uptime_y~uptime_m~uptime_d~link
Shauq - Qala | Tripti Dimri, Babil Khan |Amit Trivedi, Varun Grover~31,846~0~1~50~https://www.youtube.com/watch?v=3DfNuUd3lhJ9I
Farsh Pe Khade - Monica, O My Darling |Rajkummar,Huma |Achint, Varun G., Sagnik Sen~25,903~0~1~57~https://www.youtube.com/watch?v=3Da8uDR2006Qc
Bye Bye Adios - Monica, O My Darling |Radhika,Rajkummar,Huma |Achint,Varun G.,Anupama~24,033~0~2~59~https://www.youtube.com/watch?v=3DtGfxDvkmz6E
Love You So Much(I Want To Kill You) - Monica,O My Darling|Rajkummar Rao|Achint~19,825~0~2~59~https://www.youtube.com/watch?v=3DtQLEKFzo0bs
Yeh Ek Zindagi - Monica, O My Darling |Huma Qureshi |Achint, Mikey McCleary, Anupama~46,591~0~2~59~https://www.youtube.com/watch?v=3DH-w28ExxokE
Dil Mera - Lyric |OAFF, Savera, Burrah, Yashraj |Jeena Chaunda, Hassna Chaunda~10,812~0~2~59~https://www.youtube.com/watch?v=3D1rr4WWGC5N4
Goli Chaldi - CAT |V Rakx Music, Toofan Singh Gill, Swarjit Singh |Randeep Hooda~15,093~0~2~59~https://www.youtube.com/watch?v=3Dt5AJqyVhGts
Sidhe Saadhe Jatt Nu - CAT |V Rakx Music, CA Rudra, Jaz Dhami |Punjabi Love Song~17,816~0~2~59~https://www.youtube.com/watch?v=3DS9F-lfz908M
Tutde Star - CAT |V Rakx Music, Toofan Singh Gill, Swarjit Singh |Punjabi Song~17,562~0~2~59~https://www.youtube.com/watch?v=3DAW7CKu9DGVg
Asi Bande Punjabi Haan - CAT |V Rakx Music, Swarjit Singh |Randeep Hooda |Proud Punjabi~16,176~0~2~59~https://www.youtube.com/watch?v=3DgL_2twnra0o
Poonakalu Loading - Waltair Veerayya (Hindi) |DSP, Aaman Trikha |Chiranjeevi, Ravi Teja~29,902~0~2~59~https://www.youtube.com/watch?v=3D-FplMP3kKv4
Boss Party - Waltair Veerayya |DSP, Aaman Trikha |Chiranjeevi, Urvashi Rautela~80,378~0~2~59~https://www.youtube.com/watch?v=3Dvo8rNSX8XdA
Hai Kya Ye Mera Kasoor - Black Rose |Urvashi Rautela |Mani Sharma, Harika Narayan~67,967~0~2~59~https://www.youtube.com/watch?v=3D9g-dRE8TuXY
Master Raid - Lyrical |Vijay The Master |Anirudh R. |Akshay The One |Raqueeb Alam~30,882~0~2~59~https://www.youtube.com/watch?v=3DjaaHAAyVP_Q
Master Coming - Lyrical |Vijay The Master |Anirudh R. |Raqueeb Alam |Thalapathy Vijay~35,380~0~2~59~https://www.youtube.com/watch?v=3DXIDGH82HwMg
Chhoti Story - Lyric Video|Vijay The Master |Anirudh R.|Nakash Aziz|Thalapathy Vijay~27,684~0~2~59~https://www.youtube.com/watch?v=3DU2CUpYIEJrI
Master Coming - Vijay The Master | Thalapathy Vijay |Anirudh Ravichander |Vaathi Coming~48,917~0~2~59~https://www.youtube.com/watch?v=3DCRbagGbfEs0
Chhoti Story - Vijay The Master|Thalapathy Vijay |Anirudh R.|Nakash Aziz|Kutti Story~19,800~0~3~90~https://www.youtube.com/watch?v=3DYhzTH56p7H4
Ratiya - Pina Colada Blues |Shreya Jain |Vaibhav Pani |Pseudo Video |DayOne~21,877~0~3~90~https://www.youtube.com/watch?v=3DfJMVDKAyhQw
Guzarish - citimall | Pseudo Video | Indian Pop~33,568~0~3~90~https://www.youtube.com/watch?v=3DULjjT_fkCbo
Fida - KASYAP | Yash Narvekar | Pseudo Video |Tu Ne Kya Jaadoo Kiya Re~30,637~0~3~90~https://www.youtube.com/watch?v=3DJzfRkzj5W-Y
Wajah - Official Lyric Video | Harnoor, Karan Thabal, Mxrci | Punjabi Song~44,504~0~3~90~https://www.youtube.com/watch?v=3D1cNSOM5x-Is
Pani Da Rang (Deep Disco) Video - Vicky Donor | Ayushmann &amp; Yami Gautam | Dj Kamiya~75,282~0~3~90~https://www.youtube.com/watch?v=3DGdsouDpq36g
