title~views~uptime_y~uptime_m~uptime_d~link
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #33~886,362~0~1~33~https://www.youtube.com/watch?v=3DYl_rmlS4u9s
JISOO - =E2=80=98=EA=BD=83(FLOWER)=E2=80=99 M/V MAKING FILM~6,502,123~0~7~214~https://www.youtube.com/watch?v=3DV1pS_9z7VQA
JISOO - [ME] JACKET MAKING FILM~5,782,048~0~7~214~https://www.youtube.com/watch?v=3D1EQvcWz3Ziw
JISOO - =E2=80=98=EA=BD=83(FLOWER)=E2=80=99 FANCHANT GUIDE~4,061,915~0~7~214~https://www.youtube.com/watch?v=3DAUwWAdBUo5U
JISOO - =E2=80=98=EA=BD=83(FLOWER)=E2=80=99 M/V~408,155,498~0~7~214~https://www.youtube.com/watch?v=3DYudHcBIxlYw
JISOO - =E2=80=98=EA=BD=83(FLOWER)=E2=80=99 M/V TEASER~18,617,169~0~7~214~https://www.youtube.com/watch?v=3DLLWZOF7DiVg
JISOO - VISUAL FILM #2~9,754,368~0~7~214~https://www.youtube.com/watch?v=3DTO3z3wQENPw
BLACKPINK WORLD TOUR [BORN PINK] X KOREAN AIR WELCOME VIDEO~1,961,699~0~7~214~https://www.youtube.com/watch?v=3Dido-fCQek5Q
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #16~4,836,278~0~7~214~https://www.youtube.com/watch?v=3DRj-LibQFoYQ
JISOO - VISUAL FILM #1~12,478,989~0~8~245~https://www.youtube.com/watch?v=3DXYjVwg63Z7U
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #15~2,765,666~0~8~245~https://www.youtube.com/watch?v=3DjQHgv0D7e6U
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #14~2,711,931~0~8~245~https://www.youtube.com/watch?v=3DQxs_DCLswYA
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #13~2,832,006~0~8~245~https://www.youtube.com/watch?v=3DGYhfDGV5GvU
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #12~2,439,962~0~8~245~https://www.youtube.com/watch?v=3D2LyUwTs6uK0
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #11~2,395,863~0~9~273~https://www.youtube.com/watch?v=3Dglj7kBEOIW8
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #10~2,692,761~0~9~273~https://www.youtube.com/watch?v=3DvB3dItmMVXM
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #9~2,079,582~0~9~273~https://www.youtube.com/watch?v=3DNNmtPJcV3AE
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #8~2,664,921~0~9~273~https://www.youtube.com/watch?v=3DzfCo-X7UmKI
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #7~2,993,462~0~10~304~https://www.youtube.com/watch?v=3DO0gZRROft68
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #6~2,631,505~0~10~304~https://www.youtube.com/watch?v=3De_XxMHUNJOw
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #5~2,824,402~0~10~304~https://www.youtube.com/watch?v=3DaiNJbot6xX8
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #4~3,221,357~0~10~304~https://www.youtube.com/watch?v=3DoFMss-QEE6E
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #3~3,240,847~0~10~304~https://www.youtube.com/watch?v=3DEAysvmlhIBU
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #2~4,871,783~0~11~335~https://www.youtube.com/watch?v=3D4hgm69uVCdQ
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #1~7,028,818~0~11~335~https://www.youtube.com/watch?v=3DhZ_1c0hW_ZI
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 TEASER~3,941,484~0~11~335~https://www.youtube.com/watch?v=3D3Ne55EliHKU
BLACKPINK - [BORN PINK] OFFLINE FAN SIGNING EVENT~3,647,973~0~12~365~https://www.youtube.com/watch?v=3DpGQzt0VEP14
BLACKPINK WORLD TOUR [BORN PINK] BAND PRACTICE SKETCH~6,932,456~1~13~396~https://www.youtube.com/watch?v=3DZPA37YESz2U
BLACKPINK - =E2=80=98BORN PINK=E2=80=99 Countdown Party Replay~7,479,706~1~13~396~https://www.youtube.com/watch?v=3DS1EVzs5tOVk
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 (Official Audio)~12,156,675~1~13~396~https://www.youtube.com/watch?v=3D3or3dp3qNQU
BLACKPINK - =E2=80=98Shut Down=E2=80=99 (Official Audio)~10,950,439~1~13~396~https://www.youtube.com/watch?v=3DJDRyqUx1X8M
BLACKPINK - =E2=80=98Typa Girl=E2=80=99 (Official Audio)~93,270,429~1~13~396~https://www.youtube.com/watch?v=3DUhxW9Njqqu0
BLACKPINK - =E2=80=98Yeah Yeah Yeah=E2=80=99 (Official Audio)~16,331,424~1~13~396~https://www.youtube.com/watch?v=3DwQTjv-Xo1gY
BLACKPINK - =E2=80=98Hard to Love=E2=80=99 (Official Audio)~29,996,629~1~13~396~https://www.youtube.com/watch?v=3D7Hr3p1BHC_E
BLACKPINK - =E2=80=98The Happiest Girl=E2=80=99 (Official Audio)~23,275,554~1~13~396~https://www.youtube.com/watch?v=3DkVXazE8wR1Q
BLACKPINK - =E2=80=98Tally=E2=80=99 (Official Audio)~65,347,763~1~13~396~https://www.youtube.com/watch?v=3DVQo4hyWfBQ4
BLACKPINK - =E2=80=98Ready For Love=E2=80=99 (Official Audio)~4,319,054~1~13~396~https://www.youtube.com/watch?v=3D-Wduzor_Y1Q
BLACKPINK - =E2=80=98Shut Down=E2=80=99 M/V MAKING FILM~8,986,919~1~13~396~https://www.youtube.com/watch?v=3DL0zIUVVEW6g
BLACKPINK - =E2=80=98Shut Down=E2=80=99 DANCE PERFORMANCE VIDEO~156,883,649~1~13~396~https://www.youtube.com/watch?v=3DPjrAwC4TIPA
BLACKPINK - =E2=80=98Shut Down=E2=80=99 M/V~535,422,824~1~13~396~https://www.youtube.com/watch?v=3DPOe9SOEKotk
BLACKPINK - =E2=80=98Shut Down=E2=80=99 M/V TEASER~25,798,735~1~13~396~https://www.youtube.com/watch?v=3DYzigQ-93ig8
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 [Light Up The Pink] Campaign 2022 Compilation~8,995,910~1~13~396~https://www.youtube.com/watch?v=3D1nmn6frGdOk
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 SPECIAL STAGE~45,428,553~1~13~396~https://www.youtube.com/watch?v=3DRkKXbweBCcI
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 Visualizer~10,026,914~1~13~396~https://www.youtube.com/watch?v=3DN_Dlp-ueDf8
BLACKPINK WORLD TOUR [BORN PINK] SEOUL MESSAGE VIDEO~3,475,168~1~13~396~https://www.youtube.com/watch?v=3Dder6pNVKfXQ
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 M/V REACTION~16,155,390~1~13~396~https://www.youtube.com/watch?v=3D4tF9yT6TaKM
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 DANCE PRACTICE VIDEO~209,474,305~1~13~396~https://www.youtube.com/watch?v=3DRFMi3v0TXP8
BLACKPINK x YouTube Shorts | #PinkVenomChallenge~3,703,937~1~13~396~https://www.youtube.com/watch?v=3Di_44fjSgcTM
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 M/V MAKING FILM~19,375,824~1~13~396~https://www.youtube.com/watch?v=3DpDP9SEP7vCo
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 M/V~748,186,653~1~13~396~https://www.youtube.com/watch?v=3DgQlMMD8auMs
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 M/V TEASER~32,390,003~1~13~396~https://www.youtube.com/watch?v=3DUTCC8k6KwnQ
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 Concept Teaser~13,692,715~1~13~396~https://www.youtube.com/watch?v=3D6eCCRvCWez8
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 JISOO Concept Teaser #2~10,085,162~1~13~396~https://www.youtube.com/watch?v=3DFQkI9RtkmrI
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 JENNIE Concept Teaser #2~7,684,092~1~13~396~https://www.youtube.com/watch?v=3D9q3byegECqw
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 ROS=C3=89 Concept Teaser #2~9,360,099~1~13~396~https://www.youtube.com/watch?v=3D7C0TewNgkDM
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 LISA Concept Teaser #2~10,581,048~1~13~396~https://www.youtube.com/watch?v=3DFvFyKt1KYfU
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 LISA Concept Teaser~13,670,761~1~13~396~https://www.youtube.com/watch?v=3DqpJYP4v8aLo
BLACKPINK - =E2=80=98Pink Venom=E2=80=99 ROS=C3=89 Concept Teaser~8,645,549~1~13~396~https://www.youtube.com/watch?v=3D948IACe0000
BLACKPINK - 'Pink Venom' JENNIE Concept Teaser~11,318,633~1~13~396~https://www.youtube.com/watch?v=3D7-8d34yjHNA
BLACKPINK - 'Pink Venom' JISOO Concept Teaser~14,433,976~1~13~396~https://www.youtube.com/watch?v=3DvpVBRTXpJeI
BLACKPINK - 'BORN PINK' ANNOUNCEMENT TRAILER~25,338,395~1~13~396~https://www.youtube.com/watch?v=3Dnxs0RHpT_Hg
BLACKPINK X PUBG MOBILE - =E2=80=98Ready For Love=E2=80=99 M/V~148,211,635~1~13~396~https://www.youtube.com/watch?v=3D7WyHtSlvHD4
CALLING ALL BLINKS: REFLECT ON #COP26 =EC=A3=BC=ED=95=9C =EC=98=81=EA=B5=AD=EB=8C=80=EC=82=AC=EC=99=80 =ED=95=A8=EA=BB=98=ED=95=9C =EB=B8=94=EB=9E=99=ED=95=91=ED=81=AC=EC=9D=98 #=EA=B8=B0=ED=9B=84=ED=96=89=EB=8F=99 =EB=8F=8C=EC=95=84=EB=B3=B4=EA=B8=B0~4,521,536~1~13~396~https://www.youtube.com/watch?v=3D8rceGqSF4-w
BLACKPINK 2022 WELCOMING COLLECTION PREVIEW~9,408,235~1~13~396~https://www.youtube.com/watch?v=3DOZdK1czhuv8
CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26~13,101,974~1~13~396~https://www.youtube.com/watch?v=3D0pJ1oD-OXZo
BLACKPINK Performs Stay | Dear Earth~14,077,899~1~13~396~https://www.youtube.com/watch?v=3DrqVPhi0oTVU
BLACKPINK Talks Climate Change  | Dear Earth~3,519,153~1~13~396~https://www.youtube.com/watch?v=3DAq27eTQMBJA
LISA - 'MONEY' DANCE PRACTICE VIDEO~117,587,393~2~25~761~https://www.youtube.com/watch?v=3Dfr-eHz87XoM
LISA - 'LALISA' 0926 SBS Inkigayo~21,711,660~2~25~761~https://www.youtube.com/watch?v=3DaEiznLJCb9o
LISA - 'MONEY' EXCLUSIVE PERFORMANCE VIDEO~915,089,741~2~25~761~https://www.youtube.com/watch?v=3DdNCWe_6HAM8
LISA - FIRST SINGLE ALBUM LALISA ALBUM UNBOXING~6,714,892~2~25~761~https://www.youtube.com/watch?v=3DLuFyun11XNs
LISA - 'LALISA' DANCE PRACTICE VIDEO~87,002,359~2~25~761~https://www.youtube.com/watch?v=3DZJ6QQLDIzrI
LISA - 'LALISA' JACKET MAKING FILM~7,284,101~2~25~761~https://www.youtube.com/watch?v=3D7UrRPh26dYI
LISA - 'LALISA' SPECIAL STAGE~93,749,560~2~25~761~https://www.youtube.com/watch?v=3D08x_TcTyw8o
LISA - 'LALISA' M/V MAKING FILM~14,195,219~2~25~761~https://www.youtube.com/watch?v=3DhSWKyrD1ofM
LISA - 'LALISA' M/V~660,147,698~2~25~761~https://www.youtube.com/watch?v=3DawkkyBH2zEo
BLACKPINK - 'Lovesick Girls-JP Ver.-' 0820 MUSIC STATION SUMMER FES~10,013,719~2~25~761~https://www.youtube.com/watch?v=3DRa6Y5EMbghY
LISA - 'LALISA' M/V TEASER~28,670,388~2~25~761~https://www.youtube.com/watch?v=3D08MCd75frA8
BLACKPINK CARD by BC CARD~2,751,615~2~25~761~https://www.youtube.com/watch?v=3D63Lff45WQAo
BLACKPINK 5th ANNIVERSARY [4+1] POP-UP WITH BLINK~3,321,318~2~25~761~https://www.youtube.com/watch?v=3D8k3QLN3WbwE
LISA - FIRST SINGLE ALBUM LALISA VISUAL TEASER #3~13,260,626~2~25~761~https://www.youtube.com/watch?v=3DFiLP0SQmVwk
LISA - FIRST SINGLE ALBUM LALISA VISUAL TEASER #1~15,348,030~2~25~761~https://www.youtube.com/watch?v=3DgCszAvYz1Go
BLACKPINK CARD BALANCE GAME by BC CARD~3,137,442~2~25~761~https://www.youtube.com/watch?v=3DbM3QuYcb_gM
BLACKPINK 5th ANNIVERSARY [4+1] 2021 SUMMER DIARY PREVIEW~4,704,786~2~25~761~https://www.youtube.com/watch?v=3DHKrrncw8n6E
BLACKPINK - =E3=80=8CHow you like that -JP Ver.-=E3=80=8D MV~25,884,943~2~25~761~https://www.youtube.com/watch?v=3DDjL9di-UIYc
BLACKPINK THE MOVIE - TICKET SALES OPENING IN SOUTH KOREA~2,867,405~2~25~761~https://www.youtube.com/watch?v=3DQHRvtemJazM
BLACKPINK - 5th ANNIVERSARY [4+1] THE MOVIE SCREENX TRAILER~2,328,665~2~25~761~https://www.youtube.com/watch?v=3DbUEbwz-Xrzg
BLACKPINK - JAPAN 1st FULL ALBUM =E3=80=8CTHE ALBUM -JP Ver.-=E3=80=8D SAMPLER~2,331,009~2~25~761~https://www.youtube.com/watch?v=3DY3xGk9fZr1s
BLACKPINK -=E3=80=8CTHE ALBUM - JP Ver. - =E3=80=8D-Teaser~3,009,695~2~25~761~https://www.youtube.com/watch?v=3D39uYY8wfuRc
BLACKPINK - 5th ANNIVERSARY [4+1] THE MOVIE MAIN TRAILER~6,350,334~2~25~761~https://www.youtube.com/watch?v=3DMHncNFal0ms
BLACKPINK - =E3=80=8CLovesick Girls - JP Ver.-=E3=80=8D MV~21,913,710~2~25~761~https://www.youtube.com/watch?v=3Dds0fyCwym6o
BLACKPINK - =E3=80=8CTHE ALBUM -JP Ver.-=E3=80=8D SPECIAL EDITION Teaser~3,835,380~2~25~761~https://www.youtube.com/watch?v=3D-Y7iMrO1DtI
BLACKPINK - =E3=80=8CTHE ALBUM -JP Ver.-=E3=80=8D Concept Photo Teaser~8,429,795~2~25~761~https://www.youtube.com/watch?v=3Dp7-jnvsVKb8
BLACKPINK x Today's Top Hits~11,389,609~2~25~761~https://www.youtube.com/watch?v=3D7BKtMceoGT8
BLACKPINK - 5th ANNIVERSARY [4+1 PROJECT] ANNOUNCEMENT VIDEO~5,615,126~2~25~761~https://www.youtube.com/watch?v=3DShhlj3QVGpI
BLACKPINK - JAPAN 1st FULL ALBUM =E3=80=8CTHE ALBUM -JP Ver.-=E3=80=8D~5,323,130~2~25~761~https://www.youtube.com/watch?v=3DwiOGSpOV9T8
BLACKPINK - 2021 [THE SHOW] DVD &amp; KiT VIDEO RELEASE~5,162,313~2~25~761~https://www.youtube.com/watch?v=3DoIupRdK7pwM
LISA PHOTOBOOK [0327] VOL.2 -SECOND EDITION- Online Fansigning Event~5,261,312~2~25~761~https://www.youtube.com/watch?v=3De93WOX_gIvM
ROS=C3=89 - 'Gone' M/V MAKING FILM~9,178,613~2~25~761~https://www.youtube.com/watch?v=3DXEb5u0lJARU
ROS=C3=89 - 'Gone' M/V~271,132,670~2~25~761~https://www.youtube.com/watch?v=3DK9_VFxzCuQ0
ROS=C3=89 - 'On The Ground' 0404 SBS Inkigayo~6,102,361~2~25~761~https://www.youtube.com/watch?v=3DkZZYkrDWUls
ROS=C3=89 - 'On The Ground' 0328 SBS Inkigayo : NO.1 OF THE WEEK~6,149,781~2~25~761~https://www.youtube.com/watch?v=3DVFBj5sWfbH4
ROS=C3=89 - 'On The Ground' Dance Performance~109,673,421~2~25~761~https://www.youtube.com/watch?v=3Dz6CSW2yu8Mg
ROS=C3=89 - 'On The Ground' 0321 SBS Inkigayo~10,857,316~2~25~761~https://www.youtube.com/watch?v=3DAkISOALL8Cw
ROS=C3=89 - FIRST SINGLE ALBUM -R- MAKING FILM~6,086,941~2~25~761~https://www.youtube.com/watch?v=3D_iOBHJLe3eE
ROS=C3=89 - 'On The Ground' 0314 SBS Inkigayo~27,054,600~2~25~761~https://www.youtube.com/watch?v=3DQ88P1gpOJxA
ROS=C3=89 - 'Gone' 0314 SBS Inkigayo~14,360,828~2~25~761~https://www.youtube.com/watch?v=3Dfjp4thii1WY
ROS=C3=89 - 'On The Ground' M/V MAKING FILM~8,285,181~2~25~761~https://www.youtube.com/watch?v=3DwexdV6Gj84s
ROS=C3=89 - 'On The Ground' M/V~345,020,707~2~25~761~https://www.youtube.com/watch?v=3DCKZvWhCqx1s
