title~views~since_upload~link
Marshmello, Dove Cameron - Other Boys (San Pacho Remix - Official Audio)~51,739~4 days ago 2 minutes, 38 seconds~https://www.youtube.com/watch?v=3DzBdO-_rJDAI
Marshmello, Dove Cameron, Guz - Other Boys (Guz Remix - Official Audio)~14,243~4 days ago 2 minutes, 45 seconds~https://www.youtube.com/watch?v=3DBPDV6pLToZ4
Marshmello, Dove Cameron, Chapter &amp; Verse - Other Boys (Chapter &amp; Verse Remix - Audio)~15,623~4 days ago 3 minutes~https://www.youtube.com/watch?v=3D4VUY4YdPo-U
Marshmello, Young Miko - Tempo (Official Lyric Video)~222,801~1 month ago 1 minute, 49 seconds~https://www.youtube.com/watch?v=3D3JiaOL_OXBs
Marshmello, Dove Cameron - Other Boys (Official Lyric Video)~1,207,128~1 month ago 2 minutes, 21 seconds~https://www.youtube.com/watch?v=3DduDrXMiYmv4
Marshmello, Young Miko - Tempo (Official Video)~5,992,397~2 months ago 1 minute, 55 seconds~https://www.youtube.com/watch?v=3D4JVxRDY_dGw
Marshmello x Sleepy Hallow - GBG (Official Lyric Video)~125,842~2 months ago 2 minutes, 11 seconds~https://www.youtube.com/watch?v=3D8-EoCHa5l5s
Marshmello, Tiago PZK - Como Yo :( (Official Lyric Video)~440,863~2 months ago 2 minutes, 23 seconds~https://www.youtube.com/watch?v=3D9JZs1ojceHI
Marshmello, Farruko, VINNE - Esta Vida (VINNE Remix)~237,719~2 months ago 2 minutes, 55 seconds~https://www.youtube.com/watch?v=3D7YieeRqIOiw
Marshmello, Farruko, Jess Bays - Esta Vida (Jess Bays Remix)~228,776~3 months ago 3 minutes, 54 seconds~https://www.youtube.com/watch?v=3DsOpW0F5FRDU
Marshmello, Tiago PZK - Como Yo :( (Official Video)~13,774,517~3 months ago 2 minutes, 31 seconds~https://www.youtube.com/watch?v=3D6kxcENOfVvw
Marshmello, Manuel Turizo - The Making of 'El Merengue' (Vevo Footnotes)~117,732~3 months ago 3 minutes, 37 seconds~https://www.youtube.com/watch?v=3DlBwTxEs67qY
Marshmello, Tropkillaz, TMJ - Vem K Me Da (Official Music Video)~179,446~3 months ago 2 minutes, 35 seconds~https://www.youtube.com/watch?v=3DNEKUpasyevQ
Marshmello, Tropkillaz, Mc RD - Taka Taka (Official Music Video)~306,886~4 months ago 2 minutes, 40 seconds~https://www.youtube.com/watch?v=3D_YME1F8S29k
Marshmello, Tropkillaz, Mu540, Mc GW - Movimenta  (Official Music Video)~335,986~4 months ago 3 minutes, 37 seconds~https://www.youtube.com/watch?v=3D_jWXyUVCePQ
Marshmello, Farruko, Deorro - Esta Vida (Deorro Remix - Audio)~209,529~4 months ago 4 minutes, 2 seconds~https://www.youtube.com/watch?v=3DfJeyqcU2lzo
Marshmello, Tropkillaz, Mc Delux - Solteiro Sou Um Perigo (Official Music Video)~983,693~4 months ago 3 minutes, 16 seconds~https://www.youtube.com/watch?v=3DGF7qYPf35A4
Marshmello, Manuel Turizo, ESSEL - El Merengue (ESSEL Remix - Audio)~89,100~4 months ago 2 minutes, 39 seconds~https://www.youtube.com/watch?v=3DuDMzx2BXm2A
