title~views~since_upload~link
Justin Bieber - Justin Bieber - =E2=80=9CSomebody=E2=80=9D (Live from the 2021 Juno Awards)~6,436,406~2 years ago 3 minutes, 6 seconds~https://www.youtube.com/watch?v=3DWOnkozBboi4
Justin Bieber - Peaches (Remix) ft. Ludacris, Usher &amp; Snoop Dogg~7,889,396~2 years ago 3 minutes, 50 seconds~https://www.youtube.com/watch?v=3DoZOU306yv2g
Justin Bieber - Peaches / Hold On (Live On The Voice / 2021)~8,097,556~2 years ago 4 minutes, 22 seconds~https://www.youtube.com/watch?v=3Dea9ExLiqczk
Justin Bieber - Unstable (Live from Paris)~10,260,250~2 years ago 2 minutes, 26 seconds~https://www.youtube.com/watch?v=3D4FDmH922dDA
Justin Bieber - Hold On (Live from Paris)~58,128,141~2 years ago 2 minutes, 57 seconds~https://www.youtube.com/watch?v=3D1WHPExTeOwg
Justin Bieber - Off My Face (Live from Paris)~38,619,335~2 years ago 2 minutes, 44 seconds~https://www.youtube.com/watch?v=3DENjrJ_zyeUc
Justin Bieber - Somebody (Live from Paris)~25,114,571~2 years ago 3 minutes, 2 seconds~https://www.youtube.com/watch?v=3D3pYsfaQeMRs
Justin Bieber - 2 Much (Live from Paris)~27,177,169~2 years ago 2 minutes, 19 seconds~https://www.youtube.com/watch?v=3DxFJjczkU4So
Justin Bieber - The Making of 'Peaches' | Vevo Footnotes ft. Daniel Caesar, Giv=C3=A9on~1,165,422~2 years ago 2 minutes, 55 seconds~https://www.youtube.com/watch?v=3DeJgf7JqM4n4
Justin Bieber - We're In This Together~1,189,197~2 years ago 3 minutes, 2 seconds~https://www.youtube.com/watch?v=3DxdZ02AU3TAM
Justin Bieber - Where Do I Fit In (feat. Tori Kelly, Chandler Moore, Judah Smith)~1,506,652~2 years ago 4 minutes, 47 seconds~https://www.youtube.com/watch?v=3DlyGRH8BlfZA
Justin Bieber - All She Wrote (feat. Brandon Love, Chandler Moore)~755,090~2 years ago 3 minutes, 55 seconds~https://www.youtube.com/watch?v=3DV74BjSgbnrY
Justin Bieber - Freedom (with BEAM)~1,628,353~2 years ago 2 minutes, 46 seconds~https://www.youtube.com/watch?v=3DNtOFgX0_ggc
Justin Bieber - Afraid To Say (feat. Lauren Walters)~913,078~2 years ago 4 minutes, 23 seconds~https://www.youtube.com/watch?v=3D6VcvAlrC7sY
Justin Bieber - Where You Go I Follow (feat. Pink Sweat$, Chandler Moore, Judah Smith)~2,270,533~2 years ago 3 minutes, 33 seconds~https://www.youtube.com/watch?v=3D2BNmPM8IGLU
Justin Bieber - Peaches (TikTok Compilation)~2,725,278~2 years ago 3 minutes, 18 seconds~https://www.youtube.com/watch?v=3DBb25xjTl3Os
Justin Bieber - Holy (Official Live Performance) | Vevo~3,785,301~2 years ago 2 minutes, 47 seconds~https://www.youtube.com/watch?v=3DqvWiueLeyKw
Justin Bieber - Lonely (Official Live Performance) | Vevo~19,259,982~2 years ago 2 minutes, 48 seconds~https://www.youtube.com/watch?v=3DNQ1eqKQJwtw
Justin Bieber - Anyone (Official Live Performance) | Vevo~10,963,761~2 years ago 3 minutes, 16 seconds~https://www.youtube.com/watch?v=3Dox7gSxYZwEU
Justin Bieber - Name (Visualizer) ft. Tori Kelly~2,890,547~2 years ago 2 minutes, 40 seconds~https://www.youtube.com/watch?v=3D-7_x8Unut1k
Justin Bieber - I Can't Be Myself (Visualizer) ft. Jaden Smith~6,519,841~2 years ago 3 minutes, 14 seconds~https://www.youtube.com/watch?v=3DktYAU-tIZQA
Justin Bieber - Know No Better (Visualizer) ft. Da Baby~3,599,522~2 years ago 2 minutes, 42 seconds~https://www.youtube.com/watch?v=3DwcJvP3FujHM
Justin Bieber - Lifetime~9,775,900~2 years ago 3 minutes, 28 seconds~https://www.youtube.com/watch?v=3D0O2QX2A_qZw
Justin Bieber - There She Go (Visualizer) ft. Lil Uzi Vert~7,710,248~2 years ago 3 minutes, 36 seconds~https://www.youtube.com/watch?v=3DN5envSQamHc
Justin Bieber - Wish You Would (Visualizer) ft. Quavo~4,992,706~2 years ago 4 minutes, 2 seconds~https://www.youtube.com/watch?v=3D0n664jRR-xU
Justin Bieber - Hold On (Official Live Performance) | Vevo~7,078,760~2 years ago 2 minutes, 56 seconds~https://www.youtube.com/watch?v=3D30VoWibPyzI
Justin Bieber - Peaches (Montage)~3,140,365~2 years ago 3 minutes, 21 seconds~https://www.youtube.com/watch?v=3DIpIxY7JlcVQ
Justin Bieber - Peaches ft. Daniel Caesar, Giveon (Lyric Video)~13,690,631~2 years ago 3 minutes, 19 seconds~https://www.youtube.com/watch?v=3Day9y3CTkT40
Justin Bieber - Love You Different (Visualizer) ft. BEAM~8,845,855~2 years ago 3 minutes, 7 seconds~https://www.youtube.com/watch?v=3DhziNlrrNdvM
Justin Bieber - 2 Much (Visualizer)~12,014,960~2 years ago 2 minutes, 33 seconds~https://www.youtube.com/watch?v=3DJKPp3Kshb7c
Justin Bieber - MLK Interlude (Visualizer)~2,679,421~2 years ago 1 minute, 45 seconds~https://www.youtube.com/watch?v=3DFsvgXhznuNw
Justin Bieber - Peaches ft. Daniel Caesar, Giveon~694,875,692~2 years ago 3 minutes, 18 seconds~https://www.youtube.com/watch?v=3DtQ0yjYUFKAE
Justin Bieber - Loved By You (Visualizer) ft. Burna Boy~11,635,255~2 years ago 2 minutes, 40 seconds~https://www.youtube.com/watch?v=3DMHi4w6DO3DE
Justin Bieber - Ghost (Visualizer)~20,461,785~2 years ago 2 minutes, 34 seconds~https://www.youtube.com/watch?v=3DKRUWn3dLoRg
Justin Bieber - Somebody (Visualizer)~12,018,108~2 years ago 3 minutes~https://www.youtube.com/watch?v=3DjLQrk6rmX6w
Justin Bieber - Unstable (Visualizer) ft. The Kid LAROI~15,539,361~2 years ago 2 minutes, 39 seconds~https://www.youtube.com/watch?v=3Dmmr0LHIVV_E
Justin Bieber - Off My Face (Visualizer)~17,332,813~2 years ago 2 minutes, 37 seconds~https://www.youtube.com/watch?v=3DAeZxDcjXbzE
Justin Bieber - As I Am (Visualizer) ft. Khalid~20,022,798~2 years ago 2 minutes, 55 seconds~https://www.youtube.com/watch?v=3D33Uh-uNb5Oc
Justin Bieber - Deserve You (Visualizer)~16,771,369~2 years ago 3 minutes, 8 seconds~https://www.youtube.com/watch?v=3D1_NVaujWgBg
Justin Bieber - Die For You (Visualizer) ft. Dominic Fike~11,341,967~2 years ago 3 minutes, 19 seconds~https://www.youtube.com/watch?v=3D1M6evm8ycmg
Justin Bieber - The Making Of 'Hold On' | Vevo Footnotes~906,064~2 years ago 5 minutes, 11 seconds~https://www.youtube.com/watch?v=3D_KmDZwBZZIU
Justin Bieber - Hold On (Maple Leafs Love Letter)~2,064,368~2 years ago 2 minutes, 52 seconds~https://www.youtube.com/watch?v=3DPY71ljVzV28
Justin Bieber - Hold On (Visualizer)~1,262,651~2 years ago 2 minutes, 51 seconds~https://www.youtube.com/watch?v=3DPieWQ3X14KI
Justin Bieber - Hold On (Montage)~2,036,312~2 years ago 3 minutes, 17 seconds~https://www.youtube.com/watch?v=3DL-YLluHUmo8
Justin Bieber - Hold On (Lyric Video)~25,160,307~2 years ago 2 minutes, 51 seconds~https://www.youtube.com/watch?v=3DHKMP2Woaf2E
Justin Bieber - Hold On~97,870,820~2 years ago 5 minutes, 9 seconds~https://www.youtube.com/watch?v=3DLWeiydKl0mU
Justin Bieber - Anyone (On The Road)~6,645,300~2 years ago 3 minutes, 11 seconds~https://www.youtube.com/watch?v=3DcvCgv775KRs
Justin Bieber - The Making of 'Anyone' | Vevo Footnotes~1,883,458~2 years ago 4 minutes, 24 seconds~https://www.youtube.com/watch?v=3D8VS50UMBfck
Justin Bieber - Anyone (Live from NYE)~6,118,525~2 years ago 3 minutes, 8 seconds~https://www.youtube.com/watch?v=3DVLa39MqhUV8
Justin Bieber - Anyone (Lyric Video)~6,099,066~2 years ago 3 minutes, 12 seconds~https://www.youtube.com/watch?v=3D4cLa1c7Zzg8
Justin Bieber - Anyone (Montage)~2,484,220~2 years ago 3 minutes, 36 seconds~https://www.youtube.com/watch?v=3DCZGB92faPW4
Justin Bieber - Anyone (Visualizer)~2,305,115~2 years ago 3 minutes, 11 seconds~https://www.youtube.com/watch?v=3DfXT0NCQtf9o
Justin Bieber - Anyone~109,474,303~2 years ago 4 minutes, 24 seconds~https://www.youtube.com/watch?v=3DKIK3azN4w34
Justin Bieber - Anyone (Trailer)~1,156,256~2 years ago 16 seconds~https://www.youtube.com/watch?v=3DLu2G-tqoTJs
T-Mobile Presents New Year=E2=80=99s Eve Live with Justin Bieber~915,055~2 years ago 31 seconds~https://www.youtube.com/watch?v=3DiXGZ12O9EHg
Shawn Mendes, Justin Bieber - The Making of 'Monster' | Vevo Footnotes~3,207,153~2 years ago 3 minutes~https://www.youtube.com/watch?v=3DIfWj8ViLrvg
Shawn Mendes &amp; Justin Bieber - Monster (From The Archives)~2,251,057~2 years ago 3 minutes, 10 seconds~https://www.youtube.com/watch?v=3Da_axQbIPymY
