title~views~since_upload~link
Optical Illusion Trick Shots ft. Zach King~26,330,690~2 years ago 8 minutes, 3 seconds~https://www.youtube.com/watch?v=3Dt8JCJZM8tCw
Top 5 Vehicles Bucket List~19,374,443~2 years ago 18 minutes~https://www.youtube.com/watch?v=3Drzi_iXUTuXY
Chainsaw Carving Competition | OT 29~19,278,110~2 years ago 22 minutes~https://www.youtube.com/watch?v=3DD7f04YOXQq8
Submarine Minefield Battle~12,639,199~2 years ago 12 minutes, 44 seconds~https://www.youtube.com/watch?v=3DBTVMLRSsb3o
Trying to Bench 405 lbs Underwater | OT 28~24,541,033~2 years ago 19 minutes~https://www.youtube.com/watch?v=3DRL42Yl4LS6c
Demolition Derby Battle~17,737,285~2 years ago 13 minutes, 10 seconds~https://www.youtube.com/watch?v=3Dy2TPOTlPU9M
Cell Phone Stereotypes~41,121,997~2 years ago 12 minutes, 43 seconds~https://www.youtube.com/watch?v=3D2EGuVKx_MXA
World's Hottest Hot Sauce | OT 27~27,039,917~2 years ago 24 minutes~https://www.youtube.com/watch?v=3DTl1ycnEFk3I
Fastest Soapbox Car Wins~27,456,498~2 years ago 11 minutes, 57 seconds~https://www.youtube.com/watch?v=3DDf_hrHHcQ_g
South Africa Bucket List~33,636,174~2 years ago 31 minutes~https://www.youtube.com/watch?v=3DI4AgeDIrHGY
Pet Peeves (Official Music Video)~16,348,166~2 years ago 3 minutes, 30 seconds~https://www.youtube.com/watch?v=3D_eIH4F-24M4
World's Weirdest Item | OT 26~27,253,636~2 years ago 26 minutes~https://www.youtube.com/watch?v=3DPAgQHcKMOIk
RC Helicopter Battle | Dude Perfect~15,154,785~2 years ago 10 minutes, 11 seconds~https://www.youtube.com/watch?v=3DZ8y05MbYm1Q
OUR WIVES JOIN THE SHOW | OT 25~22,606,491~2 years ago 25 minutes~https://www.youtube.com/watch?v=3D8Mc6zZxBTLA
Longest Dunk Wins~77,709,069~2 years ago 10 minutes, 19 seconds~https://www.youtube.com/watch?v=3DqUUloBe5vEo
Dude Wars | OT 24~31,549,713~2 years ago 25 minutes~https://www.youtube.com/watch?v=3Dn1dEqq2hepw
Toy Trick Shots | Dude Perfect~24,770,765~2 years ago 4 minutes, 57 seconds~https://www.youtube.com/watch?v=3DcfZA6udrVUc
Game Night Stereotypes~43,865,190~2 years ago 9 minutes, 41 seconds~https://www.youtube.com/watch?v=3DEsVPUpDyGec
Flying RC Car~31,312,312~2 years ago 9 minutes, 17 seconds~https://www.youtube.com/watch?v=3D74ZSIJk2pcg
